Sample ID,Community,pH,Temp,EC,TDS,Na+,K+,Mg2+,Ca2+,Cl-,SO42-,HCO3-,NO3-,F-
,,8.79,27.36,729.90,333.41,1.04,66.42,0.76,10.60,12.53,10.20,99.42,83.77,0.86
,,8.60,27.70,602.27,317.33,5.28,6.46,14.99,30.23,7.88,27.41,147.48,88.22,1.31
,,9.12,28.32,708.49,271.92,5.15,91.12,38.36,12.10,3.07,17.19,361.75,15.42,10.04
,,7.51,28.66,456.96,348.08,6.52,106.77,66.94,8.60,5.59,37.88,218.37,27.55,6.50
,,7.68,29.41,475.42,264.45,4.90,87.10,14.15,3.85,0.70,28.50,172.68,74.59,5.40
,,6.93,29.64,437.30,403.98,9.01,96.08,34.36,33.55,2.08,1.94,387.44,50.98,4.63
,,8.97,26.03,590.71,191.37,5.21,101.83,21.80,38.80,11.16,35.08,364.16,89.30,8.63
,,6.48,29.69,761.04,281.28,3.28,80.63,5.04,34.72,2.12,6.82,220.91,12.66,19.45
,,9.39,29.65,536.26,199.32,0.55,54.93,6.48,7.49,3.44,17.62,249.47,70.23,0.97
,,9.18,26.29,468.43,254.98,9.45,81.31,0.74,5.63,2.72,21.06,267.99,85.28,7.06
,,7.89,25.75,787.04,262.24,5.71,32.20,3.56,2.44,0.43,22.53,285.06,7.92,3.47
,,9.50,26.97,391.81,234.32,8.35,77.03,9.42,26.82,4.28,22.64,296.54,44.87,1.15
,,7.70,27.65,605.88,389.84,10.69,33.09,3.20,37.48,2.73,22.28,347.74,73.97,17.96
,,7.19,29.23,619.95,261.48,5.38,6.40,39.58,19.60,4.05,7.26,373.94,49.33,18.14
,,8.53,27.99,294.51,233.38,11.30,92.95,4.28,9.50,13.02,24.26,136.39,75.19,7.37
,,6.87,25.96,507.19,184.98,6.92,80.79,7.69,27.08,3.49,17.66,301.70,45.82,0.94
,,7.21,29.71,456.96,392.30,4.05,60.46,58.42,40.82,11.07,35.94,70.38,75.41,4.73
,,9.38,27.26,776.83,378.11,6.92,89.88,32.06,25.06,9.83,19.08,149.58,2.69,5.16
,,7.39,27.41,634.42,304.51,9.68,41.44,47.60,26.75,12.67,12.57,295.72,22.46,12.97
,,8.96,27.08,714.47,319.20,6.64,62.01,61.58,18.07,10.59,32.87,79.80,77.77,5.73
,,8.70,27.76,439.73,386.57,2.84,16.20,65.85,24.36,2.91,18.56,59.04,46.11,5.43
,,6.63,25.82,559.59,200.78,8.99,60.12,4.08,25.18,5.17,41.61,256.28,85.32,14.76
,,7.51,26.50,324.37,200.18,0.38,105.12,14.30,10.56,9.63,10.75,78.21,40.03,6.98
,,8.42,25.22,675.89,383.68,10.06,18.85,39.49,3.12,0.89,33.28,116.85,27.59,2.82
,,8.98,29.44,527.69,249.47,10.13,19.36,43.89,19.72,4.47,2.73,244.75,59.68,19.23
,,7.12,29.73,759.27,296.57,9.65,13.69,41.95,41.40,7.33,39.11,295.13,53.37,13.90
,,7.84,26.64,530.05,351.48,2.87,75.29,38.23,27.68,12.75,26.59,370.01,83.59,6.03
,,7.40,25.59,759.73,390.25,9.18,96.89,42.78,4.63,0.66,13.20,237.27,45.62,7.75
,,7.89,29.19,348.36,191.50,8.36,5.68,49.75,40.98,7.25,7.18,149.07,73.38,2.05
,,7.48,28.83,431.97,288.77,8.16,63.37,18.55,25.40,5.20,37.99,379.05,50.92,8.11
,,9.32,29.97,757.26,197.50,6.86,35.48,2.73,14.41,4.68,28.32,165.22,19.64,6.48
,,8.46,28.36,301.25,400.90,7.82,115.14,43.87,14.24,0.80,20.40,69.32,66.24,8.42
,,6.55,26.89,765.78,260.05,5.64,78.23,28.45,5.87,9.38,8.49,139.53,16.27,0.20
,,7.63,25.28,393.59,344.12,4.91,113.40,27.22,16.97,0.48,20.05,400.53,16.57,10.66
,,8.48,28.68,326.40,352.62,5.78,105.42,31.10,30.54,13.60,24.98,67.27,82.06,14.48
,,9.38,29.48,619.51,293.17,9.94,117.66,1.62,7.52,7.07,6.89,382.04,48.87,8.44
,,7.14,25.82,524.40,304.26,1.75,96.52,22.50,24.57,4.48,13.25,227.89,60.38,0.92
,,7.72,27.48,312.91,235.60,4.07,52.29,22.51,38.87,11.77,7.65,187.31,28.92,10.46
,,7.33,28.85,404.48,220.16,3.78,115.40,65.60,16.47,13.29,30.82,175.19,48.97,16.06
,,8.13,27.11,277.39,260.15,5.04,81.75,29.33,31.83,11.98,4.77,278.28,65.20,2.53
,,7.83,27.73,644.01,389.13,1.32,56.54,38.36,17.09,5.66,24.48,116.83,22.26,15.31
,,7.72,27.23,560.79,218.53,1.95,18.73,38.21,18.17,13.74,22.96,384.40,46.68,11.88
,,7.32,25.39,295.14,258.23,7.48,58.49,52.82,13.83,8.97,35.42,364.01,72.43,6.60
,,6.62,28.16,638.40,274.34,10.18,87.78,24.85,34.52,7.36,18.59,166.83,84.43,8.26
,,6.62,27.73,796.95,361.70,3.62,36.91,4.36,33.53,8.86,22.89,68.27,43.95,6.86
,,6.78,25.79,392.48,318.05,7.21,106.23,23.16,25.08,12.69,9.58,279.27,89.12,1.34
,,9.43,29.61,453.81,192.49,3.83,54.09,65.47,11.50,11.36,9.72,179.24,71.80,4.57
,,6.52,25.76,578.40,237.67,4.31,106.61,26.60,20.47,7.22,37.21,81.21,15.82,1.55
,,8.95,29.99,560.46,205.61,4.42,69.90,7.31,34.43,11.92,36.31,113.54,20.78,0.13
,,7.08,27.37,631.41,395.13,5.50,96.64,54.82,25.85,5.72,7.35,379.52,24.41,11.90
,,8.84,26.85,558.97,340.34,1.77,40.53,14.16,6.45,9.66,7.72,112.04,63.09,11.22
,,6.72,26.32,457.90,281.11,1.48,69.16,11.71,6.38,14.38,37.24,196.01,74.70,1.91
,,7.82,27.96,328.92,378.67,8.65,10.51,28.90,37.00,5.81,7.96,119.96,30.19,15.41
,,9.30,27.64,428.60,252.26,4.82,21.51,61.28,1.40,13.45,34.91,138.88,49.84,17.24
,,6.86,25.53,433.49,383.10,7.49,30.17,61.45,3.75,7.74,9.24,293.64,33.76,16.65
,,7.69,29.61,380.95,304.45,9.27,115.07,19.74,10.42,1.94,19.89,229.04,13.06,8.78
,,6.95,29.09,264.09,334.94,0.74,43.73,40.15,24.94,8.24,10.71,323.74,79.63,3.86
,,6.53,25.52,790.93,356.20,2.38,108.65,59.47,21.85,10.47,14.41,401.26,27.05,10.06
,,8.82,29.56,786.02,284.93,3.65,19.49,21.89,21.28,4.11,36.34,326.33,47.46,5.06
,,8.87,29.19,652.40,328.47,10.09,10.31,65.58,34.27,12.91,25.20,298.52,67.28,12.69
,,7.17,25.39,594.12,352.22,4.48,100.80,41.02,31.84,6.54,24.16,284.03,53.46,0.86
,,6.96,27.17,312.75,262.34,7.02,50.68,34.29,24.12,6.79,29.29,95.01,50.82,6.95
,,8.25,27.95,719.05,202.92,8.58,36.08,42.53,18.47,8.31,20.42,105.50,65.03,12.35
,,8.09,25.77,785.30,271.76,11.04,56.65,58.78,3.41,4.71,23.11,331.63,14.40,16.97
,,7.02,26.37,717.80,394.43,10.35,35.85,58.17,7.55,0.59,18.36,323.21,24.35,6.52
,,7.82,29.57,487.20,275.67,9.92,67.02,12.00,36.02,10.86,2.34,292.62,63.77,3.90
,,7.73,28.54,479.79,225.72,2.75,34.98,47.15,20.08,8.64,13.52,347.00,81.01,14.72
,,6.94,26.24,346.06,215.33,0.36,98.92,51.84,0.01,14.19,20.99,224.10,79.82,0.14
,,8.59,29.04,607.15,235.77,6.24,40.89,10.00,13.39,10.49,30.26,329.10,29.97,15.46
,,8.01,25.95,534.45,380.00,2.73,45.75,10.69,25.48,6.47,37.95,274.68,13.23,4.73
,,8.38,26.94,754.88,293.48,9.82,24.28,26.81,30.80,9.53,23.39,66.87,57.15,19.46
,,7.11,28.92,492.00,402.57,7.85,66.39,40.69,2.79,5.14,11.61,199.59,4.82,17.73
,,7.64,28.40,576.50,195.75,9.95,39.63,7.76,38.25,7.37,34.18,88.75,56.41,18.87
,,6.57,29.14,657.05,381.06,6.65,114.96,56.06,41.60,11.10,28.88,160.33,37.70,7.71
,,7.17,25.61,408.23,394.98,1.49,63.11,37.07,24.60,12.78,11.78,257.32,67.34,18.98
,,9.45,26.06,591.22,211.23,2.26,25.47,42.52,19.24,2.92,35.67,192.21,78.95,7.07
,,8.75,28.36,747.85,186.94,4.80,29.72,16.58,2.38,6.60,11.01,123.69,4.16,18.25
,,7.01,28.84,393.71,239.03,5.11,33.57,4.28,40.02,5.03,3.35,174.20,83.15,4.92
,,9.04,28.16,582.79,218.38,6.22,15.43,60.11,0.18,0.73,3.90,170.87,40.51,18.67
,,7.56,27.73,541.84,329.24,6.70,108.40,16.00,35.95,1.72,19.86,199.40,57.75,14.44
,,7.31,27.52,648.25,336.85,2.97,63.94,59.94,36.02,4.19,4.97,302.19,86.15,11.58
,,8.81,27.12,572.47,364.06,0.27,6.53,21.49,36.57,7.61,36.74,267.33,82.16,17.45
,,9.53,27.74,674.54,190.53,3.46,11.72,25.75,35.26,4.91,25.55,104.55,28.67,10.95
,,9.40,26.69,717.97,246.66,0.62,28.88,14.60,34.91,6.24,3.94,106.51,11.15,0.91
,,9.14,26.09,713.57,317.92,2.34,52.44,67.37,29.75,3.46,31.64,162.11,79.68,8.19
,,7.13,29.37,533.30,306.67,2.65,80.34,33.26,31.62,2.61,33.15,172.60,26.71,3.82
,,8.39,27.23,355.02,281.91,0.15,58.65,1.09,6.66,8.37,38.69,152.80,91.15,7.15
,,9.36,27.78,629.69,209.42,4.88,39.63,34.65,13.06,1.25,11.93,135.28,49.42,18.01
,,6.91,29.89,735.81,346.61,10.23,59.41,39.18,22.34,12.92,23.21,139.27,31.18,16.98
,,8.82,26.67,343.57,368.44,1.28,10.56,23.63,10.85,11.86,39.34,311.36,20.65,5.54
,,8.39,26.65,606.38,191.04,6.41,37.00,26.43,19.30,12.66,16.85,86.18,57.10,0.16
,,9.36,29.03,786.00,203.12,2.75,118.89,35.08,32.74,11.93,25.95,230.86,38.22,19.47
,,6.83,25.68,353.25,189.74,7.34,89.92,19.96,16.24,8.15,35.17,119.30,50.18,9.60
,,8.75,28.90,520.17,199.50,6.92,83.73,21.17,30.38,10.75,34.03,78.61,44.52,2.44
,,8.40,29.37,772.73,374.78,0.43,63.64,2.04,20.71,2.16,3.21,200.92,77.28,18.54
,,6.88,26.12,436.70,392.50,5.79,7.14,15.80,25.24,4.25,2.23,141.46,77.11,2.48
,,7.20,26.03,781.64,229.60,4.01,79.19,52.86,25.95,10.45,6.75,101.87,74.69,5.62
,,9.36,28.33,461.10,319.76,1.40,67.22,34.80,35.24,5.25,3.92,115.12,51.86,14.18
,,7.45,25.49,265.11,384.38,10.91,65.09,15.27,14.48,5.13,41.55,361.01,77.60,12.31
,,6.66,27.53,689.02,324.35,9.73,74.44,3.10,35.61,9.88,39.65,157.27,56.05,6.43
,,7.42,28.12,531.79,259.95,3.43,76.12,3.42,7.88,11.62,13.31,375.78,33.03,10.45
,,6.75,28.85,715.61,281.11,5.42,95.64,10.67,16.96,10.66,12.87,380.04,86.62,15.36
,,6.80,29.47,284.07,383.52,9.06,33.79,3.72,1.42,3.72,34.28,282.94,30.75,16.47
,,8.09,26.21,551.85,403.25,10.08,78.58,52.18,40.34,0.90,30.21,319.15,37.60,7.79
,,9.35,26.98,470.11,379.34,9.16,96.53,40.20,34.21,1.83,30.17,99.88,35.88,8.21
,,8.39,26.86,349.67,296.78,9.06,45.39,43.69,21.91,2.46,11.22,312.14,11.63,5.22
,,7.57,25.23,408.19,268.85,1.30,58.77,5.97,20.68,0.45,9.52,130.73,41.96,14.47
,,6.79,26.92,592.36,200.01,4.93,80.20,20.36,20.58,0.52,37.01,128.42,11.18,16.44
,,8.88,28.95,613.92,210.35,2.16,13.20,20.90,40.25,9.94,19.68,142.32,10.08,12.96
,,7.95,29.09,544.40,296.25,0.19,26.56,4.45,16.69,11.40,39.94,200.40,42.11,5.18
,,7.68,26.65,701.84,296.37,8.21,77.26,39.24,35.19,6.02,36.52,160.13,51.88,18.34
,,6.77,26.09,404.86,229.88,0.39,31.03,8.13,14.95,13.54,13.47,232.75,56.72,8.89
,,7.80,28.37,449.57,249.07,1.70,31.02,26.05,22.38,12.43,10.89,309.09,14.76,11.80
,,6.56,26.89,727.67,362.19,8.85,81.73,26.52,22.43,7.80,6.02,260.64,16.17,17.40
,,8.78,28.73,560.08,299.18,10.66,58.08,37.07,31.23,13.34,30.99,197.32,86.07,10.66
,,7.52,28.98,443.14,295.20,1.07,71.00,15.12,5.74,12.43,4.38,351.90,63.60,15.34
,,9.27,29.56,524.29,216.11,4.72,15.66,41.85,16.17,9.93,9.30,280.10,88.25,4.42
,,8.47,29.86,732.67,325.77,8.37,85.99,15.05,21.26,12.41,12.91,225.30,35.04,17.01
,,6.48,28.70,523.03,185.34,10.74,37.50,29.27,18.42,0.66,12.68,360.97,4.65,5.97
,,8.19,26.43,744.18,286.75,6.02,3.23,15.00,28.26,8.78,14.39,305.06,13.21,17.08
,,8.33,28.17,486.46,207.56,10.80,18.96,58.40,4.88,1.84,6.12,308.30,28.19,1.52
,,9.26,26.77,383.86,347.09,3.00,82.84,31.70,36.43,1.94,18.25,377.10,3.98,9.34
,,8.05,25.79,632.65,379.25,7.66,11.40,10.00,3.94,12.75,28.74,383.44,53.66,0.32
,,8.40,28.21,521.99,293.78,9.02,33.72,1.66,23.53,12.69,27.36,273.41,15.39,1.42
,,8.66,27.59,412.55,218.54,6.95,51.41,21.48,23.04,7.96,23.24,131.19,65.01,7.69
,,7.71,25.84,270.06,251.77,4.96,114.94,58.27,25.14,14.22,28.94,135.13,19.24,17.65
,,9.16,25.99,329.41,251.36,4.19,70.28,15.51,41.71,1.54,41.46,361.00,39.23,2.92
,,8.02,25.31,710.03,264.77,9.71,14.76,5.66,6.15,2.47,40.28,291.73,76.78,3.10
,,7.40,27.77,666.07,293.30,5.35,30.01,42.30,35.40,4.73,22.71,302.20,62.05,18.61
,,7.20,25.89,712.90,342.12,4.85,107.32,44.02,8.02,2.01,27.26,283.59,72.14,17.61
,,9.42,27.69,428.08,403.86,7.83,23.66,3.78,12.09,1.54,0.85,131.33,3.77,7.83
,,7.87,27.93,784.18,248.43,8.25,42.98,51.99,20.20,3.12,29.27,298.99,56.12,13.16
,,7.66,27.53,484.25,397.44,9.41,18.31,55.37,37.14,11.82,25.28,232.82,44.95,13.78
,,6.93,25.85,653.13,364.00,5.91,62.17,38.40,32.84,9.26,39.74,114.55,79.45,8.60
,,8.69,29.04,276.82,402.22,10.00,83.70,37.44,9.26,7.98,36.08,122.21,17.62,5.45
,,8.52,26.20,673.41,264.50,1.16,114.15,33.74,17.95,4.34,21.26,101.17,61.90,19.45
,,7.51,28.19,293.50,283.70,8.36,29.94,2.80,41.05,8.00,32.39,372.47,3.78,11.16
,,6.49,26.11,653.35,368.90,7.09,81.25,13.53,33.23,4.56,4.38,100.10,83.25,16.47
,,9.33,26.76,519.51,224.05,10.55,14.80,37.72,11.74,1.74,27.58,211.68,29.30,7.28
,,6.45,27.59,448.02,261.70,6.71,42.95,56.16,4.56,14.03,4.29,228.84,22.89,13.61
,,6.95,26.51,782.82,281.81,8.92,46.90,35.40,42.95,11.07,11.34,152.02,64.99,4.79
,,9.21,27.75,664.47,237.08,0.64,21.65,44.83,20.66,6.40,29.20,120.85,67.47,18.10
,,7.07,28.30,712.42,303.60,7.02,62.30,6.85,35.89,8.14,11.77,123.84,7.47,3.25
,,6.84,28.25,374.80,270.00,0.30,3.29,4.30,37.63,9.01,13.13,98.73,75.15,18.77
,,9.03,29.86,725.97,287.04,2.47,72.65,65.38,2.17,3.12,27.47,214.74,15.65,11.65
,,8.54,26.62,525.60,282.81,5.33,55.92,45.34,7.78,0.50,17.72,96.09,8.86,9.88
,,9.19,25.45,376.08,387.22,2.59,19.88,9.38,0.31,14.70,39.31,101.07,72.77,14.02
,,9.38,26.86,582.04,265.57,4.62,104.65,32.20,41.72,8.67,34.27,157.24,4.90,9.24
,,8.92,28.05,330.06,352.03,5.56,66.64,2.51,38.41,7.21,7.32,371.78,14.26,10.41
,,7.57,27.35,658.67,197.98,0.75,30.27,15.87,36.52,6.37,7.95,254.70,47.38,6.36
,,9.36,28.05,794.18,371.51,1.90,109.63,57.68,9.24,12.34,20.77,110.13,62.43,7.36
,,7.23,29.86,453.32,209.75,5.00,59.12,50.58,15.05,13.48,11.17,126.62,73.65,12.75
,,8.17,28.81,407.14,190.07,8.37,72.05,32.54,40.96,6.36,9.99,215.10,44.41,11.01
,,6.92,28.50,700.22,214.53,8.45,59.39,9.22,25.01,11.41,11.56,252.11,81.06,6.96
,,6.72,25.27,623.24,364.92,10.21,101.33,67.11,26.33,10.89,12.85,82.70,51.29,14.63
,,9.02,27.15,573.37,204.70,2.34,57.85,46.12,0.36,1.47,24.83,285.03,52.95,1.03
,,8.33,26.89,649.27,365.00,9.30,8.58,44.60,11.50,3.70,9.09,305.50,19.23,17.24
,,7.45,29.66,409.64,212.93,1.55,77.74,35.88,34.08,13.46,24.87,356.05,69.45,13.66
,,6.77,27.70,390.39,217.22,7.84,99.97,25.14,4.44,14.19,1.29,66.61,85.45,16.60
,,7.47,29.06,304.89,336.16,8.74,73.64,44.07,28.36,7.16,11.10,287.14,81.27,11.37
,,7.94,29.41,492.08,332.56,0.72,105.54,58.98,19.46,12.92,39.75,120.51,23.01,7.74
,,7.96,25.89,338.61,238.56,3.75,25.28,48.42,27.46,5.13,25.68,173.03,44.38,6.07
,,9.50,25.32,355.60,216.08,10.06,87.93,54.95,27.68,7.11,33.07,81.49,82.60,9.31
,,7.09,29.51,431.64,400.78,8.98,68.77,11.91,32.52,3.67,7.40,211.59,70.27,11.37
,,7.29,25.57,308.98,294.07,8.38,26.23,4.56,21.75,10.42,35.36,222.98,77.52,13.61
,,6.57,29.86,362.37,248.60,6.71,85.45,21.49,18.00,9.80,5.65,65.05,9.43,13.21
,,9.12,26.83,533.94,300.70,2.15,23.31,34.84,6.69,13.37,5.17,124.19,61.69,13.10
,,9.27,30.09,677.40,213.33,1.84,42.58,39.95,27.46,4.51,9.00,287.05,10.84,17.22
,,6.56,25.34,564.30,393.63,5.40,20.17,44.18,27.25,11.93,30.42,204.85,38.42,13.47
,,6.86,26.11,264.50,270.29,11.22,66.73,3.60,20.43,6.81,17.87,143.26,37.30,16.95
,,8.13,29.30,623.27,329.31,7.77,117.23,51.65,8.27,14.24,26.38,201.61,28.49,0.18
,,8.37,25.66,623.77,324.32,1.75,54.48,15.30,20.75,0.78,0.62,75.70,6.40,0.23
,,8.78,29.79,430.18,365.29,4.06,88.52,26.86,38.19,11.06,13.29,185.85,47.98,13.12
,,6.53,28.71,722.09,346.25,8.14,35.83,22.50,3.08,1.28,23.25,66.37,30.68,4.70
,,7.54,26.73,266.74,364.44,6.76,96.56,16.33,11.86,4.56,8.11,218.33,25.20,9.27
,,7.84,29.86,570.47,209.34,7.58,66.19,26.68,21.50,9.02,38.06,127.32,50.43,17.44
,,8.65,28.20,401.86,205.28,4.79,27.46,12.12,36.16,1.75,6.82,352.49,42.46,9.48
,,7.42,28.60,658.42,304.68,1.15,15.45,3.71,15.71,1.70,15.89,114.63,74.36,4.21
,,7.57,28.14,276.55,310.55,2.28,80.57,32.99,2.60,11.69,39.67,132.83,70.06,7.53
,,7.49,29.40,772.16,317.63,2.68,78.61,66.69,24.62,10.46,41.62,377.15,67.28,9.86
,,6.62,29.33,786.41,364.92,3.62,75.38,43.12,21.80,3.68,18.59,299.32,20.97,3.39
,,6.67,25.43,451.71,365.99,10.09,73.09,62.86,6.68,3.06,4.62,312.71,76.46,9.02
,,6.65,27.05,391.46,396.49,7.06,109.87,1.88,38.10,8.06,25.71,292.23,3.83,17.78
,,7.59,25.96,590.09,374.92,7.65,108.42,26.41,0.73,2.19,22.88,203.63,59.52,10.69
,,8.54,28.60,630.51,407.27,7.40,55.39,1.99,14.37,14.58,26.82,371.97,81.96,17.12
,,7.44,28.61,661.22,262.26,10.67,52.40,19.41,5.89,7.69,25.99,227.39,63.14,6.93
,,6.85,25.82,522.33,283.11,4.84,78.92,7.36,25.55,10.10,16.85,234.28,70.54,6.24
,,8.02,28.44,703.62,301.91,7.39,82.84,15.81,40.65,2.56,30.65,309.36,90.23,13.24
,,8.92,29.41,679.47,297.30,4.48,80.68,50.06,16.48,8.00,40.84,171.91,42.74,12.26
,,6.79,26.03,723.80,399.54,0.44,54.05,15.95,33.69,4.73,27.17,284.12,87.23,5.67
,,8.75,27.54,774.09,188.68,10.01,55.39,14.87,6.09,4.06,12.07,368.01,28.08,14.81
,,7.95,28.11,662.14,351.36,6.11,87.34,49.32,35.03,7.11,28.21,106.66,62.15,16.27
,,8.96,29.68,679.77,278.07,4.27,9.38,18.49,37.24,2.96,26.09,135.26,69.66,11.50
,,7.77,30.00,696.33,289.78,8.16,14.12,4.71,3.15,14.64,5.97,157.50,73.10,18.39
,,7.75,27.02,507.62,213.94,7.10,58.33,21.94,40.25,13.49,4.35,180.09,65.49,9.44
,,8.85,29.45,508.21,399.24,1.45,31.07,41.31,2.62,6.42,30.11,354.62,5.75,8.92
,,7.99,28.56,350.33,325.50,4.71,41.61,33.66,7.39,2.14,27.17,401.86,49.38,11.79
,,7.95,28.04,489.14,201.59,9.51,41.24,59.08,30.36,13.84,27.25,78.26,53.05,17.81
,,8.65,29.63,313.07,398.19,9.07,113.85,45.11,10.93,12.24,7.57,192.03,69.57,7.41
,,9.46,29.11,718.97,228.46,5.86,33.86,44.91,17.01,0.42,5.88,330.74,36.73,1.03
,,7.10,25.36,641.23,263.00,7.35,98.75,8.05,22.28,1.60,11.58,355.12,28.16,5.90
,,7.69,27.90,316.04,252.33,4.30,118.85,39.78,38.26,10.87,17.73,102.63,23.80,18.28
,,7.15,28.96,390.69,332.72,9.45,118.25,40.71,33.46,13.33,23.30,229.44,32.59,3.72
,,8.26,30.01,332.81,310.69,2.61,58.97,55.88,5.11,14.48,24.46,395.19,15.86,1.09
,,7.01,27.37,551.03,306.17,7.39,66.15,46.24,13.37,8.97,40.09,84.31,87.83,8.04
,,8.42,28.28,535.00,311.35,9.27,6.72,60.16,14.86,9.72,12.17,69.41,4.79,10.37
,,8.66,25.85,402.79,241.86,9.75,72.95,13.18,36.21,12.73,12.29,384.55,41.75,7.62
,,8.18,26.66,318.29,197.02,8.47,7.06,16.21,36.56,11.92,32.24,221.11,15.89,6.79
,,9.29,25.28,300.55,272.68,8.60,96.42,22.50,11.81,7.34,3.40,328.43,77.71,3.71
,,7.81,27.77,709.46,256.27,10.53,91.93,28.97,7.76,12.14,34.96,147.31,27.26,17.52
,,6.62,25.90,621.33,400.29,10.22,99.33,4.49,38.66,7.74,39.36,380.40,59.26,16.13
,,7.59,25.24,752.14,335.09,7.00,33.37,13.96,0.78,5.90,41.96,349.02,19.11,6.62
,,6.79,27.61,770.45,245.32,2.86,29.40,30.52,1.90,14.60,18.66,210.61,39.78,14.74
,,6.73,28.15,305.67,272.82,5.29,103.46,57.83,33.48,1.23,26.49,131.55,67.68,5.08
,,9.01,29.32,660.77,268.76,5.24,26.91,27.46,40.18,7.05,18.21,346.55,82.02,12.74
,,9.47,29.65,509.52,274.33,5.35,20.42,54.65,40.32,3.86,12.52,98.45,58.24,4.39
,,9.12,30.01,502.78,201.40,9.03,94.09,57.56,17.16,14.65,8.78,399.20,13.81,15.62
,,7.42,27.27,285.39,189.86,7.95,5.19,65.82,0.19,10.29,12.59,394.51,47.29,13.50
,,9.09,27.90,321.23,322.90,5.69,33.21,2.17,37.82,5.41,25.46,263.83,41.84,10.82
,,8.27,27.44,507.36,357.44,6.01,97.03,7.35,33.72,8.71,4.32,270.01,18.06,18.80
,,8.62,26.61,487.81,227.04,0.51,103.37,40.19,40.18,12.89,11.07,202.63,24.54,6.76
,,8.23,29.71,649.28,276.63,10.62,45.84,18.10,38.22,8.73,18.95,330.06,38.28,12.29
,,9.47,27.19,666.49,229.31,1.00,114.48,33.97,10.27,3.27,26.00,355.32,14.50,4.44
,,7.07,27.30,492.09,330.81,1.62,93.97,7.79,20.15,0.76,24.72,223.71,50.39,15.87
,,7.49,29.64,706.48,300.14,4.70,97.61,10.43,40.88,10.11,28.66,317.02,74.42,9.21
,,7.28,28.07,372.46,383.09,9.39,38.05,66.73,35.60,10.60,30.36,70.93,28.48,16.19
,,8.67,26.06,633.67,284.07,6.57,32.65,27.74,1.09,11.65,13.56,79.35,84.20,1.17
,,7.62,25.77,679.16,383.55,5.89,42.94,44.81,27.35,11.01,25.91,277.24,16.86,18.17
,,6.81,25.46,713.44,260.11,7.29,64.02,6.98,9.57,8.91,25.21,140.85,19.87,9.52
,,9.14,26.65,607.83,320.80,0.51,112.70,60.81,17.46,10.39,1.16,324.12,63.69,13.09
,,7.09,28.97,392.71,342.74,0.92,30.42,68.27,22.78,13.74,25.20,137.67,33.08,5.67
,,7.05,28.50,616.38,308.00,0.19,88.01,13.35,14.90,13.05,24.90,272.87,46.55,13.51
,,7.68,27.26,720.77,395.78,3.24,25.76,11.55,26.06,13.33,15.85,207.54,41.22,1.19
,,8.00,29.67,490.73,343.29,7.41,63.19,48.80,19.20,11.36,1.23,384.87,90.06,4.03
,,6.94,27.28,390.56,226.36,7.64,24.05,43.92,14.62,0.54,24.42,245.07,68.48,19.30
,,7.20,26.10,509.26,307.48,5.40,84.34,26.93,12.05,8.84,9.01,67.73,58.18,6.34
,,7.53,26.18,336.95,348.75,4.45,16.11,59.25,13.34,13.73,40.80,317.35,17.50,2.60
,,8.72,26.90,427.71,290.82,7.66,96.11,28.31,27.90,3.28,3.71,150.13,19.67,5.06
,,6.90,28.31,777.74,355.33,4.95,86.48,31.98,27.24,7.92,36.00,276.22,19.22,9.96
,,7.04,29.73,491.39,297.67,1.02,50.65,49.37,15.11,3.40,23.65,91.79,84.11,16.89
,,9.29,25.99,666.71,309.17,5.67,33.66,56.38,9.77,4.52,23.85,322.77,70.12,2.15
,,7.74,29.99,750.97,393.91,0.83,21.55,13.71,16.07,13.60,15.90,82.66,68.55,11.89
,,6.68,28.51,766.06,333.23,9.22,26.24,53.43,37.48,7.16,0.77,323.54,60.11,17.38
,,9.12,26.78,491.71,375.53,9.84,61.77,54.60,42.54,6.97,25.96,261.03,63.45,18.49
,,8.66,25.22,568.23,236.66,3.03,116.41,54.11,7.37,2.27,25.10,384.76,11.12,7.10
,,8.89,26.34,272.31,265.84,4.81,109.28,62.92,23.53,12.61,30.87,275.34,12.01,6.41
,,6.42,27.33,653.55,200.67,4.59,101.58,29.72,1.46,3.30,9.54,72.77,53.93,12.70
,,7.71,26.91,381.93,197.17,9.35,45.14,68.21,35.75,8.74,27.39,188.49,27.51,18.15
,,8.46,29.65,502.92,306.34,5.18,38.37,0.67,25.81,5.64,25.83,323.00,27.80,17.07
,,7.66,25.81,357.90,395.57,5.94,43.53,9.81,30.64,3.50,25.85,241.08,85.10,7.01
,,6.56,26.57,460.66,364.81,7.58,84.54,54.65,40.54,3.29,18.23,75.62,24.12,2.66
,,7.26,26.49,780.67,354.78,0.87,115.42,14.08,29.07,7.65,20.13,330.64,6.47,18.10
,,7.16,29.05,677.82,193.26,8.94,58.41,51.96,33.61,13.63,18.19,193.82,55.62,2.96
,,7.96,29.97,577.79,238.01,8.44,44.24,47.83,39.28,5.80,20.98,109.16,80.87,10.85
,,6.56,25.87,419.15,390.50,9.30,17.61,46.23,18.77,13.54,1.34,293.85,58.48,1.12
,,8.78,27.73,593.87,299.44,9.03,103.39,20.24,11.41,13.51,2.21,270.16,19.23,17.15
,,7.05,25.55,516.92,208.36,8.19,41.34,59.36,28.67,10.34,11.93,159.11,8.82,10.10
,,6.62,27.91,298.96,224.96,0.15,16.08,50.02,15.88,4.55,29.32,157.20,59.44,13.79
